date key,full date,day of week,day num in month,day num overall,day name,day abbrev,weekday flag,week num in year,week num overall,week begin date,week begin date key,month,month num overall,month name,month abbrev,quarter,year,yearmo,fiscal month,fiscal quarter,fiscal year,month end flag
19960101,01/01/1996,1,1,1,Monday,Mon,Y,1,1,01/01/1996,19960101,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960102,02/01/1996,2,2,2,Tuesday,Tue,Y,1,1,01/01/1996,19960101,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960103,03/01/1996,3,3,3,Wednesday,Wed,Y,1,1,01/01/1996,19960101,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960104,04/01/1996,4,4,4,Thursday,Thu,Y,1,1,01/01/1996,19960101,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960105,05/01/1996,5,5,5,Friday,Fri,Y,1,1,01/01/1996,19960101,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960106,06/01/1996,6,6,6,Saturday,Sat,N,1,1,01/01/1996,19960101,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960107,07/01/1996,7,7,7,Sunday,Sun,N,1,1,01/01/1996,19960101,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960108,08/01/1996,1,8,8,Monday,Mon,Y,2,2,08/01/1996,19960108,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960109,09/01/1996,2,9,9,Tuesday,Tue,Y,2,2,08/01/1996,19960108,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960110,10/01/1996,3,10,10,Wednesday,Wed,Y,2,2,08/01/1996,19960108,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960111,11/01/1996,4,11,11,Thursday,Thu,Y,2,2,08/01/1996,19960108,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960112,12/01/1996,5,12,12,Friday,Fri,Y,2,2,08/01/1996,19960108,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960113,13/01/1996,6,13,13,Saturday,Sat,N,2,2,08/01/1996,19960108,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960114,14/01/1996,7,14,14,Sunday,Sun,N,2,2,08/01/1996,19960108,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960115,15/01/1996,1,15,15,Monday,Mon,Y,3,3,15/01/1996,19960115,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960116,16/01/1996,2,16,16,Tuesday,Tue,Y,3,3,15/01/1996,19960115,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960117,17/01/1996,3,17,17,Wednesday,Wed,Y,3,3,15/01/1996,19960115,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960118,18/01/1996,4,18,18,Thursday,Thu,Y,3,3,15/01/1996,19960115,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960119,19/01/1996,5,19,19,Friday,Fri,Y,3,3,15/01/1996,19960115,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960120,20/01/1996,6,20,20,Saturday,Sat,N,3,3,15/01/1996,19960115,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960121,21/01/1996,7,21,21,Sunday,Sun,N,3,3,15/01/1996,19960115,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960122,22/01/1996,1,22,22,Monday,Mon,Y,4,4,22/01/1996,19960122,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960123,23/01/1996,2,23,23,Tuesday,Tue,Y,4,4,22/01/1996,19960122,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960124,24/01/1996,3,24,24,Wednesday,Wed,Y,4,4,22/01/1996,19960122,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960125,25/01/1996,4,25,25,Thursday,Thu,Y,4,4,22/01/1996,19960122,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960126,26/01/1996,5,26,26,Friday,Fri,Y,4,4,22/01/1996,19960122,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960127,27/01/1996,6,27,27,Saturday,Sat,N,4,4,22/01/1996,19960122,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960128,28/01/1996,7,28,28,Sunday,Sun,N,4,4,22/01/1996,19960122,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960129,29/01/1996,1,29,29,Monday,Mon,Y,5,5,29/01/1996,19960129,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960130,30/01/1996,2,30,30,Tuesday,Tue,Y,5,5,29/01/1996,19960129,1,1,January,Jan,1,1996,199601,7,3,1996,N
19960131,31/01/1996,3,31,31,Wednesday,Wed,Y,5,5,29/01/1996,19960129,1,1,January,Jan,1,1996,199601,7,3,1996,Y
19960201,01/02/1996,4,1,32,Thursday,Thu,Y,5,5,29/01/1996,19960129,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960202,02/02/1996,5,2,33,Friday,Fri,Y,5,5,29/01/1996,19960129,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960203,03/02/1996,6,3,34,Saturday,Sat,N,5,5,29/01/1996,19960129,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960204,04/02/1996,7,4,35,Sunday,Sun,N,5,5,29/01/1996,19960129,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960205,05/02/1996,1,5,36,Monday,Mon,Y,6,6,05/02/1996,19960205,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960206,06/02/1996,2,6,37,Tuesday,Tue,Y,6,6,05/02/1996,19960205,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960207,07/02/1996,3,7,38,Wednesday,Wed,Y,6,6,05/02/1996,19960205,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960208,08/02/1996,4,8,39,Thursday,Thu,Y,6,6,05/02/1996,19960205,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960209,09/02/1996,5,9,40,Friday,Fri,Y,6,6,05/02/1996,19960205,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960210,10/02/1996,6,10,41,Saturday,Sat,N,6,6,05/02/1996,19960205,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960211,11/02/1996,7,11,42,Sunday,Sun,N,6,6,05/02/1996,19960205,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960212,12/02/1996,1,12,43,Monday,Mon,Y,7,7,12/02/1996,19960212,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960213,13/02/1996,2,13,44,Tuesday,Tue,Y,7,7,12/02/1996,19960212,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960214,14/02/1996,3,14,45,Wednesday,Wed,Y,7,7,12/02/1996,19960212,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960215,15/02/1996,4,15,46,Thursday,Thu,Y,7,7,12/02/1996,19960212,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960216,16/02/1996,5,16,47,Friday,Fri,Y,7,7,12/02/1996,19960212,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960217,17/02/1996,6,17,48,Saturday,Sat,N,7,7,12/02/1996,19960212,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960218,18/02/1996,7,18,49,Sunday,Sun,N,7,7,12/02/1996,19960212,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960219,19/02/1996,1,19,50,Monday,Mon,Y,8,8,19/02/1996,19960219,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960220,20/02/1996,2,20,51,Tuesday,Tue,Y,8,8,19/02/1996,19960219,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960221,21/02/1996,3,21,52,Wednesday,Wed,Y,8,8,19/02/1996,19960219,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960222,22/02/1996,4,22,53,Thursday,Thu,Y,8,8,19/02/1996,19960219,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960223,23/02/1996,5,23,54,Friday,Fri,Y,8,8,19/02/1996,19960219,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960224,24/02/1996,6,24,55,Saturday,Sat,N,8,8,19/02/1996,19960219,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960225,25/02/1996,7,25,56,Sunday,Sun,N,8,8,19/02/1996,19960219,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960226,26/02/1996,1,26,57,Monday,Mon,Y,9,9,26/02/1996,19960226,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960227,27/02/1996,2,27,58,Tuesday,Tue,Y,9,9,26/02/1996,19960226,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960228,28/02/1996,3,28,59,Wednesday,Wed,Y,9,9,26/02/1996,19960226,2,2,February,Feb,1,1996,199602,8,3,1996,N
19960229,29/02/1996,4,29,60,Thursday,Thu,Y,9,9,26/02/1996,19960226,2,2,February,Feb,1,1996,199602,8,3,1996,Y
